25;remover;perfil fisioterapia/bioética, incompatível com arquitetura
31;manter;professor UFRN, bate com PPGAU-UFRN dos anais
37;dificil;nome exato, mas carreira em computação educacional
48;manter;UFAL genérico sem obras, nome bate, inverificável
54;manter;advogado coerente com afiliação OAB declarada nos anais
57;remover;enfermeiro no Acre, sobrenome divergente (Malveira)
62;manter;Professor Titular USP, Doctor Arquitecto UPM, obra Lúcio Costa
65;manter;professora UNIFAP, bate com afiliação dos anais
69;manter;docente UFBA, bate com FAUFBA
78;remover;perfil zootecnia/aves, nome cauda divergente (Leal Ribeiro)
89;remover;eng. civil homônima, nomes do meio divergem, geografia dispersa
91;manter;professora UFS, geografia Sergipe bate com Aracaju/IFS
100;dificil;nome comum, única obra é odontologia, evidência fraca
119;manter;nome distintivo exato, formação UFCG bate
139;manter;obra sobre arquivos climáticos p/ simulação, Raviolo distintivo
144;remover;única obra é cartografia escolar, nome comum
148;manter;nome distintivo exato, UFCG bate
149;manter;nome distintivo, Federal University of Campina Grande bate
150;manter;pesquisador de imagem/cinema, paper dos anais é cinema
158;remover;nomes divergem (Lourdes vs Isabelle Oliveira), obra alheia
186;manter;nome exato, UEMA bate com São Luís
191;manter;obra sobre tombamento de terreiro, patrimônio confirma
194;remover;perfil ensino de história sem Abrahim, nome comum
200;manter;professora em Manaus, mestrado USP, paper Severiano Porto
201;remover;perfil bioquímica/reumatologia, nome reordenado comum
205;manter;professora substituta UFRR, papers sobre Roraima
207;manter;professora UFRR, bate com DAU-UFRR
210;remover;perfil saúde PUC-Minas, par já suspeito no dedup
217;remover;técnica de enfermagem em Sergipe, incompatível
225;manter;professora UNICAP, bate com afiliação dos anais
231;manter;professor UFT, obras Lefebvre/Palmas urbanismo
238;manter;artes visuais UFBA bate com EBA-UFBA
242;manter;formação toda UFAL, bate com PPGAU-UFAL
254;remover;sobrenome divergente (Bezerra), obra em música
296;remover;geólogo do Porto, mineração de lítio
297;remover;perfil letras/linguagem, nome do meio diverge
305;remover;perfil letras/contracultura UNESP, sem vínculo com UFMT
322;manter;Paulo Bruna, Professor Titular FAUUSP
338;manter;graduação UFCG bate com afiliação dos anais
339;remover;químico FIOCRUZ-RO, incompatível
343;remover;perfil letras/aquisição de linguagem, nome comum
344;manter;Hilquias raro, mestrado UEMA bate com autor UEMA
346;remover;given names divergem (Maria Marreiros vs Flávia Silveira)
355;manter;estudante UFRJ, nome bate, sem evidência contrária
357;remover;professora de matemática, sobrenome divergente
362;remover;pesquisadora de IA médica EPFL/Hamburgo
370;remover;Ana CARLA vs Ana CLARA, pessoa diversa UnB
380;remover;psicologia/Vigotski, nome do meio diverge (Thaler)
394;manter;professor UFRGS, obra sobre Lelé/pré-moldagem
395;remover;perfil filosofia, só 'Marcos Silva' genérico
400;remover;administração pública México; autor é arquiteto uruguaio
401;manter;doutorando no RS, nome bate, sem evidência contrária
406;manter;instituição bate (Universidad de Buenos Aires)
415;manter;nome raríssimo, PhD UFRGS bate com PROPAR
416;dificil;nome bate mas única obra é gestão de RH
422;dificil;nome raro bate, mas única obra é agronomia
428;remover;Lucia H. Mascaro química UFSCar; autora é arquiteta
453;remover;médica no Pará; autora é historiadora USJT
463;manter;professor UFOP bate, obras pré-fabricação/térmica
471;remover;psicóloga clínica; autora é professora FAU-USP
478;remover;perfil fisioterapia/enfermagem, incompatível
480;remover;pedagoga UFSM, incompatível com PROPAR
499;remover;marketing/consumo, incompatível
504;manter;professora UnB, doutora USP, é a Elane Peixoto FAU-UnB
505;dificil;chileno, nome parcial, única obra é educação
516;remover;cardiologista espanhola, incompatível
517;manter;UNISINOS bate, tema uruguaio plausível no RS
520;remover;medicina King's College, incompatível
526;remover;biomédica, incompatível
528;remover;Ana CARINA vs Ana CRISTINA, marketing
533;remover;enfermeiro; autor é professor UEM
539;remover;sobrenome divergente (Hergert), biologia
551;remover;perfil direito securitário, incompatível
554;remover;sobrenome divergente (Martins), laticínios
559;manter;PUC-PR, é o Gnoato arquiteto de Curitiba
563;remover;sobrenome divergente (Cristina), literatura
579;manter;nome exato distintivo, Universidade Franciscana plausível
581;manter;nome exato distintivo, sem evidência contrária
586;manter;estudante USJT, pesquisa Zolko consistente (5 papers)
592;remover;nutricionista/endocrinologia UCS, nome comum
603;remover;genética vegetal EMBRAPA, incompatível
605;manter;professor UNISINOS, paper de mobiliário/design plausível
635;remover;antropologia visual, nome sem Binatto
652;manter;mestranda UFRGS bate com PROPAR-UFRGS
653;remover;obras nutrição, nome comum
654;manter;mestranda UFRGS bate
655;remover;única obra medicina obstétrica
656;manter;mestrando UFRGS bate
690;manter;Livre Docente USP, é o Rodrigo Queiroz FAU-USP
702;manter;professor UNESP genérico, nome bate, benefício da dúvida
708;remover;ciências sociais Alfenas, nome com Garcia divergente
713;manter;professor Mackenzie, bate com papers paulistanos
716;manter;doutoranda SP, nome bate, sem evidência contrária
724;remover;biologia celular, nome totalmente reordenado
759;manter;Professora Associada UNIFESP, é a Rufinoni do patrimônio
767;remover;médico ecocardiografista, nome do meio diverge
770;manter;historiadora da educação; papers dos anais são sobre escolas
786;remover;radiologia odontológica, given names divergem
806;manter;professor Belas Artes SP, obra sobre Kneese de Mello
814;remover;engenharia florestal INPA, nome sem Pilosio
828;remover;Ana Ozaki de Oslo é da computação; autora é outra
829;remover;neurologia/medicina HC-UFMG, incompatível
830;remover;auditora fiscal RFB, nome médio divergente
842;remover;direito trabalhista, não a professora de arquitetura USJT
853;manter;obra sobre urbanistas paulistas confirma
857;manter;nome exato, USJT compatível com temas
875;remover;nomes divergentes (Rezende≠Chaves Monti), geografia escolar
876;remover;biologia Max Planck, incompatível
882;manter;nome exato, professor Mackenzie plausível
884;manter;obras memória/patrimônio DOI-Codi confirmam
913;manter;RS/UFRGS compatível, sem evidência contrária
928;manter;nome bate, interior SP compatível, inverificável
943;manter;nome exato, mestranda UEM compatível
948;manter;UFSM Cachoeira do Sul bate com artigos
951;remover;letras/literatura inglesa, nome divergente
959;remover;nome diverso (Maya Fialho Ferraz), engenharia elétrica
966;remover;homônimo ortodontista, não o arquiteto famoso
971;remover;filósofo/lógica, nome divergente
980;remover;nome divergente (Paixão), área diversa
985;remover;marketing/business schools, incompatível
996;manter;discente USP São Carlos bate com tema Caron
1000;manter;engenharia civil/concreto, campo adjacente legítimo
1029;remover;literatura japonesa Turim, homônima
1037;manter;obra própria idêntica a artigo dos anais
1039;remover;Maria Fernanda ≠ Maria Giulia
1048;remover;comunicação política PUC-Rio, incompatível
1049;remover;medicina, incompatível
1050;dificil;historiador Amazônia plausível, mas padrão de erro em série
1065;remover;engenharia de computação, nome divergente
1070;remover;medicina/hematologia, incompatível
1078;manter;Fiocruz + obra Pavilhão Mourisco confirmam
1093;remover;Ana Carla ≠ Ana Paula
1096;remover;neurocirurgião Goiânia, incompatível
1101;manter;nome compatível, trajetória UFPE/USP plausível
1104;manter;obras vilas operárias/núcleos fabris confirmam
1108;remover;José Lucas ≠ José Oswaldo
1121;remover;energia Valência, incompatível
1136;remover;biogeografia/manguezais, nome divergente
1141;manter;nome distintivo exato, docente Rio compatível
1153;remover;história/quadrinhos Florença, homônimo
1181;remover;genética populacional Bolonha, incompatível
1187;remover;direito, nome divergente (Xavier≠Dias)
1196;manter;nome exato completo, professor USP/EESC
1200;remover;educação MS, nome divergente
1211;remover;farmácia/saúde, nome divergente (Maly)
1221;remover;graduanda farmácia, não a professora UdeM
1223;remover;agrônoma (Sartori), não a Junqueira FAU-USP
1228;manter;instituição bate (UNIDERP)
1231;manter;instituição bate (EESC-USP)
1232;remover;comunicação/semiótica, não o historiador pernambucano
1248;remover;direito internacional UFU, homônima da professora UFPE
1253;remover;medicina/anestesia, nome divergente
1259;manter;professora UFBA, instituição bate
1265;manter;nome exato distintivo, UniRitter dos anais
1278;manter;UFF/Iuav, obras de patrimônio confirmam
1284;remover;ciência da informação/saúde, incompatível
1291;remover;estudante atual, linha do tempo incompatível com 2003
1298;remover;física NYU, incompatível
1301;remover;mercado financeiro, incompatível
1303;remover;zootecnia, incompatível
1304;remover;antropologia da religião, incompatível
1308;manter;professora Unicamp, temas SPHAN/Lina confirmam
1309;manter;professor UFF urbanismo compatível
1318;manter;nome compatível, UNISINOS, benefício da dúvida
1321;dificil;uma obra fotovoltaica, nome comum, evidência insuficiente
1333;manter;professor titular UFRJ, habitação compatível
1346;remover;contabilidade UFG, não o professor FAU-USP
1349;remover;estagiária atual, linha do tempo incompatível com 2005
1351;manter;professor UFBA, instituição bate
1360;remover;nome divergente (Calheiros Barros)
1363;manter;obras CIAM/Parque Guinle confirmam
1367;remover;patologia veterinária, incompatível
1387;remover;bibliotecária, nome divergente
1408;remover;educação/IA Bolívia, incompatível
1410;remover;estudante atual, linha do tempo incompatível com 2007
1412;manter;professora UNIFAP, Amapá bate com artigos
1419;remover;educação/gênero, incompatível
1435;manter;professora UnB compatível
1453;remover;enfermagem, incompatível
1457;remover;matemática IFNMG, não o crítico de arte
1460;manter;historiadora da arte, obras compatíveis
1465;manter;UEMA bate + obra centros históricos
1467;remover;enfermagem Fortaleza, nome divergente
1476;manter;Bauhaus/Lincoln Institute, formação compatível
